iter	MAE
0	10.04879819
1	10.04597814
2	10.04337072
3	10.04086864
4	10.03836333
5	10.03568234
6	10.03340603
7	10.03122993
8	10.02933709
9	10.02711855
10	10.02463177
11	10.02209151
12	10.02020461
13	10.01782946
14	10.01588475
15	10.01412647
16	10.01248342
17	10.01072545
18	10.00886662
19	10.00693301
20	10.00473375
21	10.00270306
22	10.00057726
23	9.998372294
24	9.996425688
25	9.994967579
26	9.993421656
27	9.991343542
28	9.990035675
29	9.988881607
30	9.987703691
31	9.986454606
32	9.984555519
33	9.982684716
34	9.981014476
35	9.979518059
36	9.977439977
37	9.97556499
38	9.973801769
39	9.972700398
40	9.971149796
41	9.969372397
42	9.968340984
43	9.966955581
44	9.965928891
45	9.964556917
46	9.962817291
47	9.961877703
48	9.96044348
49	9.959326159
50	9.958246782
51	9.956897858
52	9.955765754
53	9.953841894
54	9.952381564
55	9.950821854
56	9.94924658
57	9.947831469
58	9.946537152
59	9.945614361
60	9.944730182
61	9.943453884
62	9.942367787
63	9.940625802
64	9.938965263
65	9.937325944
66	9.936045396
67	9.934683376
68	9.933248033
69	9.932190209
70	9.930699436
71	9.929556131
72	9.928244269
73	9.926885233
74	9.9253201
75	9.924111597
76	9.923252155
77	9.921241325
78	9.919968678
79	9.918919901
80	9.917573706
81	9.916444717
82	9.915346774
83	9.914719462
84	9.914036896
85	9.912933437
86	9.911480852
87	9.910706878
88	9.909403542
89	9.908023666
90	9.906706752
91	9.905588758
92	9.904248641
93	9.903235917
94	9.90175796
95	9.900864117
96	9.899935169
97	9.898528433
98	9.897266656
99	9.896168699
100	9.894775315
101	9.893802662
102	9.892804603
103	9.891419964
104	9.890500243
105	9.889257052
106	9.88844524
107	9.88762791
108	9.886522149
109	9.885160045
110	9.883812867
111	9.882776676
112	9.882296191
113	9.88121735
114	9.880102754
115	9.878368764
116	9.877702758
117	9.876128948
118	9.874962419
119	9.873739461
120	9.872817503
121	9.871897454
122	9.870801106
123	9.870094138
124	9.868790101
125	9.867737155
126	9.866581018
127	9.865608367
128	9.864765278
129	9.864251585
130	9.86351443
131	9.86235557
132	9.860967777
133	9.859833559
134	9.858529463
135	9.857464005
136	9.856521788
137	9.855467018
138	9.854186945
139	9.853125465
140	9.852335249
141	9.851321933
142	9.850528458
143	9.849108072
144	9.847594889
145	9.846697571
146	9.845021625
147	9.843700032
148	9.842907882
149	9.841786182
150	9.840619656
151	9.839897486
152	9.839155029
153	9.83787012
154	9.836858387
155	9.835890748
156	9.83446133
157	9.833462884
158	9.832719875
159	9.831678065
160	9.830651699
161	9.829955704
162	9.828927946
163	9.828259743
164	9.827436104
165	9.826529074
166	9.825912024
167	9.824914186
168	9.824174512
169	9.823416408
170	9.82271545
171	9.821216155
172	9.8197446
173	9.818629588
174	9.817613086
175	9.817159502
176	9.816646433
177	9.815254613
178	9.814203611
179	9.813118201
180	9.811888787
181	9.810799304
182	9.810022926
183	9.809225032
184	9.808013522
185	9.80654444
186	9.8048596
187	9.803459441
188	9.802266092
189	9.801868487
190	9.800966787
191	9.80009683
192	9.799787656
193	9.798653676
194	9.797741542
195	9.796387834
196	9.794813844
197	9.793572824
198	9.792459047
199	9.790828207
200	9.789421907
201	9.788193521
202	9.787337638
203	9.786548097
204	9.785478681
205	9.784401248
206	9.783603943
207	9.78257324
208	9.781291384
209	9.780208795
210	9.77942554
211	9.777901485
212	9.777200866
213	9.775935718
214	9.774539175
215	9.773170401
216	9.772416795
217	9.771866818
218	9.770813304
219	9.76956115
220	9.768551689
221	9.767142641
222	9.765435567
223	9.764358094
224	9.763128455
225	9.762399497
226	9.760908831
227	9.759713872
228	9.7587767
229	9.757432528
230	9.756498733
231	9.755743643
232	9.754954907
233	9.754213086
234	9.752913173
235	9.752167345
236	9.751143597
237	9.750252496
238	9.748938189
239	9.748278047
240	9.74723762
241	9.7460549
242	9.745177536
243	9.744410531
244	9.743383992
245	9.74247292
246	9.741372563
247	9.740019284
248	9.738893119
249	9.738105331
250	9.737170676
251	9.736509258
252	9.735615332
253	9.734339556
254	9.733316932
255	9.732343438
256	9.731114126
257	9.730114057
258	9.729062508
259	9.727899763
260	9.727358318
261	9.726029681
262	9.725083083
263	9.723858612
264	9.72344314
265	9.722723072
266	9.721588452
267	9.720033089
268	9.718845426
269	9.71774731
270	9.716958633
271	9.715557354
272	9.714154915
273	9.712965927
274	9.711867698
275	9.710689455
276	9.709787657
277	9.708602638
278	9.70774844
279	9.707287496
280	9.706321673
281	9.705037177
282	9.704255764
283	9.703336619
284	9.702410529
285	9.70101521
286	9.700066598
287	9.699081683
288	9.697776301
289	9.696905566
290	9.695879867
291	9.695020799
292	9.694225759
293	9.69386323
294	9.692917504
295	9.691634389
296	9.690533661
297	9.689807712
298	9.689151688
299	9.688362886
300	9.68711022
301	9.686247713
302	9.685406571
303	9.684759118
304	9.684330583
305	9.68289623
306	9.682192184
307	9.681199085
308	9.680171682
309	9.678907674
310	9.677783201
311	9.676554866
312	9.676253408
313	9.675288236
314	9.674306899
315	9.673629492
316	9.672665991
317	9.671134223
318	9.66980969
319	9.668985275
320	9.66810665
321	9.667312505
322	9.666483576
323	9.665673692
324	9.664375254
325	9.663015341
326	9.662132075
327	9.661310263
328	9.660824774
329	9.660096139
330	9.659219236
331	9.658371377
332	9.656903575
333	9.655719602
334	9.655047671
335	9.653919902
336	9.652852182
337	9.6517716
338	9.65110845
339	9.650217507
340	9.649258623
341	9.648675481
342	9.647965141
343	9.647523537
344	9.646660257
345	9.645773349
346	9.644647429
347	9.643918508
348	9.642990574
349	9.641923144
350	9.640938234
351	9.63998042
352	9.638515
353	9.63756653
354	9.636436356
355	9.635458821
356	9.633680924
357	9.632556567
358	9.631588614
359	9.630079133
360	9.629220552
361	9.628433409
362	9.627637002
363	9.626615
364	9.625568449
365	9.62455588
366	9.623962646
367	9.623118859
368	9.621939524
369	9.621197345
370	9.620078871
371	9.619233781
372	9.618510234
373	9.61761222
374	9.616597721
375	9.61588228
376	9.614548393
377	9.613711517
378	9.612753058
379	9.611855622
380	9.610926713
381	9.609581771
382	9.608347234
383	9.60752268
384	9.606444273
385	9.605080401
386	9.604146979
387	9.603191275
388	9.601796628
389	9.600805546
390	9.599949381
391	9.599099487
392	9.598126184
