iter	Passed	Remaining
0	30	30584
1	57	28610
2	83	27771
3	111	27796
4	137	27385
5	164	27226
6	191	27118
7	217	27029
8	244	26918
9	271	26877
10	299	26897
11	325	26821
12	352	26788
13	379	26693
14	405	26659
15	432	26617
16	459	26573
17	486	26551
18	513	26526
19	540	26501
20	584	27265
21	610	27137
22	637	27063
23	663	26971
24	689	26898
25	715	26810
26	742	26740
27	767	26658
28	793	26564
29	819	26510
30	847	26479
31	873	26426
32	900	26393
33	925	26308
34	953	26289
35	980	26268
36	1007	26210
37	1032	26142
38	1065	26248
39	1103	26490
40	1135	26555
41	1160	26468
42	1186	26407
43	1213	26375
44	1241	26340
45	1267	26295
46	1292	26208
47	1318	26152
48	1344	26097
49	1370	26045
50	1397	25999
51	1423	25949
52	1457	26034
53	1481	25958
54	1509	25928
55	1534	25868
56	1559	25799
57	1585	25758
58	1612	25724
59	1637	25652
60	1663	25599
61	1689	25557
62	1714	25501
63	1740	25452
64	1766	25410
65	1792	25360
66	1816	25301
67	1843	25267
68	1870	25234
69	1896	25200
70	1923	25167
71	1949	25123
72	1974	25069
73	2000	25027
74	2025	24981
75	2051	24942
76	2078	24909
77	2104	24870
78	2129	24829
79	2156	24794
80	2181	24756
81	2208	24719
82	2234	24685
83	2260	24651
84	2286	24610
85	2312	24580
86	2337	24532
87	2363	24493
88	2389	24455
89	2415	24421
90	2440	24377
91	2466	24343
92	2492	24305
93	2518	24271
94	2543	24226
95	2570	24203
96	2595	24166
97	2620	24123
98	2646	24084
99	2671	24045
100	2696	23999
101	2721	23957
102	2746	23916
103	2770	23873
104	2796	23833
105	2831	23877
106	2856	23841
107	2881	23801
108	2907	23766
109	2933	23734
110	2959	23701
111	2983	23654
112	3010	23627
113	3034	23580
114	3059	23546
115	3084	23505
116	3123	23576
117	3147	23529
118	3173	23494
119	3201	23478
120	3227	23444
121	3253	23412
122	3278	23376
123	3303	23341
124	3329	23303
125	3357	23287
126	3383	23256
127	3419	23294
128	3443	23250
129	3470	23226
130	3516	23327
131	3542	23292
132	3568	23260
133	3593	23225
134	3619	23192
135	3645	23157
136	3669	23117
137	3696	23088
