TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OPP_FGM_RANK,OPP_FGA_RANK,OPP_FG_PCT_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FG3_PCT_RANK,OPP_FTM_RANK,OPP_FTA_RANK,OPP_FT_PCT_RANK,OPP_OREB_RANK,OPP_DREB_RANK,OPP_REB_RANK,OPP_AST_RANK,OPP_TOV_RANK,OPP_STL_RANK,OPP_BLK_RANK,OPP_BLKA_RANK,OPP_PF_RANK,OPP_PFD1,OPP_PTS_RANK,PLUS_MINUS_RANK
1611661330,Atlanta Dream,44,30,14,0.682,1765.0,1275.0,2970.0,0.429,290.0,903.0,0.321,538.0,694.0,0.775,309.0,1072.0,1381.0,829.0,537.0,288.0,158.0,198.0,750.0,696.0,3378.0,-334.0,31,17,30,9,33,35,40,5,31,32,8,33,33,44,32,34,32,33,42,32,35,34,37,43,34,5
1610612737,Atlanta Hawks,58,30,28,0.517,2756.0,2453.0,5192.0,0.472,755.0,2141.0,0.353,1083.0,1370.0,0.791,677.0,1988.0,2665.0,1544.0,910.0,514.0,290.0,276.0,1082.0,1160.0,6744.0,31.0,9,17,54,42,11,69,70,53,64,66,40,64,60,59,63,73,70,68,9,67,63,17,48,19,69,45
1612709890,Austin Spurs,16,10,6,0.625,767.3,614.0,1419.0,0.433,180.0,603.0,0.299,195.0,257.0,0.759,203.0,516.0,719.0,360.0,255.0,142.0,104.0,92.0,312.0,354.0,1737.0,-29.0,67,53,6,17,73,3,5,7,3,10,2,15,13,22,11,4,7,4,66,7,23,58,4,61,4,37
1612709913,Birmingham Squadron,20,5,15,0.25,956.95,830.0,1776.0,0.467,299.0,791.0,0.378,184.0,249.0,0.739,250.0,658.0,908.0,546.0,321.0,203.0,84.0,127.0,400.0,375.0,2273.0,198.0,44,70,33,68,44,29,29,49,32,29,69,11,12,11,28,30,29,31,49,31,10,42,28,52,29,62
1610612738,Boston Celtics,57,38,19,0.667,2706.0,2143.0,4857.0,0.441,767.0,2169.0,0.354,999.0,1276.0,0.783,647.0,1733.0,2380.0,1395.0,794.0,351.0,246.0,298.0,1077.0,1150.0,6052.0,-429.0,15,4,39,12,16,46,52,13,66,69,42,51,50,50,59,50,53,50,21,43,48,8,47,21,47,2
1610612751,Brooklyn Nets,55,14,41,0.255,2615.0,2268.0,4637.0,0.489,671.0,1813.0,0.37,1007.0,1291.0,0.78,552.0,1789.0,2341.0,1471.0,770.0,507.0,268.0,231.0,1113.0,1141.0,6214.0,421.0,26,39,71,67,27,55,45,69,48,46,67,53,53,47,45,56,50,57,24,66,57,29,51,22,49,69
1612709928,Capital City Go-Go,16,9,7,0.563,770.833333,616.0,1348.0,0.457,180.0,518.0,0.347,161.0,219.0,0.735,166.0,541.0,707.0,350.0,267.0,147.0,68.0,87.0,307.0,311.0,1686.0,-92.0,67,60,10,32,70,4,3,28,3,2,27,3,3,9,2,9,4,2,60,9,3,60,3,68,2,26
1610612766,Charlotte Hornets,58,30,28,0.517,2751.0,2381.0,5134.0,0.464,746.0,2076.0,0.359,922.0,1160.0,0.795,607.0,1672.0,2279.0,1520.0,744.0,486.0,264.0,265.0,1219.0,1101.0,6430.0,-185.0,9,17,54,42,12,62,63,38,59,55,51,45,45,63,49,47,46,65,27,58,56,22,65,25,58,12
1610612741,Chicago Bulls,57,27,30,0.474,2706.0,2487.0,5233.0,0.475,789.0,2128.0,0.371,1006.0,1283.0,0.784,620.0,1902.0,2522.0,1585.0,733.0,500.0,302.0,285.0,1100.0,1080.0,6769.0,201.0,15,21,60,48,16,70,71,55,69,65,68,52,51,52,51,65,62,71,29,62,66,13,49,27,70,63
1611661329,Chicago Sky,44,10,34,0.227,1760.0,1359.0,3005.0,0.452,414.0,1131.0,0.366,645.0,840.0,0.768,384.0,1050.0,1434.0,941.0,522.0,420.0,243.0,184.0,734.0,782.0,3777.0,442.0,31,53,65,71,40,43,41,21,42,41,61,39,41,30,40,32,34,41,43,45,47,36,35,35,41,70
